title,artist
Some,BOL4
Say Yes,"Loco, Punch"
Fairy of Shampoo,TOMORROW X TOGETHER
Perhaps Love (사랑인가요) (Prod.By 박근태),"에릭남 (Eric Nam), CHEEZE (치즈)"
Some (feat. Lil Boi),"SOYOU, Junggigo, lIlBOI"
Good Person (2022),HAECHAN
Brand New,XIUMIN
Don’t,"Loco, Hwa Sa"
"Love, Maybe (Acoustic Ver.)",KIMSEJEONG
"Can I Love ? (feat. youra, Meego)","Cosmic Boy, youra, Meego"
Kiss,NMIXX
Gradation,10cm
Dear my X,KyoungSeo
Pop? Pop!,CSR
Beige coat,Grizzly
Ordinary Love,"Park Kyung, Park Boram"
Do you want to walk with me? (Romance 101 X Jukjae),Jukjae
Sweet,Lee Mujin
Can you stay,Coldin
2U,KANGDANIEL
so this is love,DAY6 (Even of Day)
Where Is Dream,10cm
"You, Who?","Eric Nam, JEON SOMI"
Fresh,Colde
How Do You Think,CHEEZE
Feel Like Falling In Love,MeloMance
IS THIS LOVE,KIHYUN
Why isn't love always easy? (Romance 101 X JOY),JOY
Maybe,JO YURI
Tattoo,Jukjae
A midsummer night's sweetness,"San E, Raina"
busy guy,meenoi
Dive into you,MOONBIN&SANHA(ASTRO)
See You Again,Yerin Baek
Not In Public,SUMMER CAKE
I like you,Seo In Guk
HONEY (Feat. Crucial Star),"Chawoo, CRUCiAL STAR"
Losing Sleep Over You,Punch
Pong Dang,CHEEZE
Magic,Song Youjin
NDGGA,meenoi
Telepathy,"Yang Yoseob, EUNHA"
Actor (Feat. pH-1),"BIG Naughty, pH-1"
Your name,JOY
I Study You,SORAN
Full of You,HAE YOON (Cherry Bullet)
Imagine Love,MIYEON
UH-RA? (feat. dress),"CHOI YOOJUNG, Ahn byeong woong, dress"
Fool,"JUNIEL, Jung Yong Hwa"
Should Not Love You,DINDIN
A Very Special One,Sugarbowl
~42,"Primary, Sam Kim, eSNa"
Angel,NCT 127
S.C.H(small but certain happiness),Standing Egg
Candle Light,NCT DREAM
Lean On Me,SEVENTEEN
Love Letter,SEVENTEEN
"我多喜歡你,你會知道(網劇<致我們單純的小美好>推廣曲)",Wang Jun Qi
Turtle,TWICE
Love Letter,Golden Child
Soft,J_ust
2cm (feat. Paul Kim),"MINSEO, Paul Kim"
Chocolate,DAY6
STRAWBERRY,TWICE
Do You Wanna Do Nothing with Me?,Lawrence
comethru,Jeremy Zucker
Kiss Me,Ed Sheeran
Better Together,Jack Johnson
Let Me,GOT7
Falling For U,SEVENTEEN
Let me love u,WayV
Little Things,One Direction
Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R."
If I Can't Have You,Shawn Mendes
Highway to Heaven - English Version,NCT 127
Best Part of Me (feat. YEBBA),"Ed Sheeran, Yebba"
마지막 첫사랑 My First and Last,NCT DREAM
Let me hear you say,SEVENTEEN
21:29,TWICE
Lemonade Love,"MARK, Parc Jae Jung"
LOVE FOOLISH,TWICE
SOMEONE'S SOMEONE,Monsta X
Like Me,AJ Rafael
About Now,DAY6
爱 - I Love You 3000 Chinese Version,Jackson Wang
Deep in love,DAY6
Iced Coffee,BEN
Love Talk - English Version,WayV
I Want To Live With You,Alex Lahey
그날 The Day,Jinyoung
"Please, Stop Me (Feat. Lil Boi of Geeks)","Park Boram, lIlBOI"
Blueming,IU
Lovebug,Jonas Brothers
"Eyes Locked, Hands Locked",Red Velvet
Love Is The Way,Red Velvet
Hearts Don't Break Around Here,Ed Sheeran
for lovers who hesitate,JANNABI
MIDDLE OF THE NIGHT,Monsta X
Restless,BIBI
Softly Spoken,Phum Viphurit
Let’s Love,SUHO
Water Swallow,An Introduction to Youth
Bored,Jeff Bernat
Love Song,NCT 127
Let's Fall in Love for the Night,FINNEAS
MOVIE,JUNNY
Kiss Kiss,SHINee
Healer,DAY6
Dive Into You,NCT DREAM
Square (2017),Yerin Baek
Written In The Stars,"WENDY, John Legend"
Painkiller,Ruel
"she likes spring, I prefer winter",slchld
Fairy of Shampoo,TOMORROW X TOGETHER
Rose - English Version,D.O.
Some,BOL4
Beautiful,Crush
It's You,Henry
D (Half Moon),"DEAN, Gaeko"
Beyond My Dreams,Sunwoojunga
Sunset,DAVICHI
No Make Up,Zion.T
But it's Destiny,10cm
"Every day, Every Moment",Paul Kim
Bom,BOL4
I'm In Love,Colde
Shining on Your Night,Jinyoung
Where the sea sleeps,DAY6 (Even of Day)
Beige coat,Grizzly
Gift,MeloMance
Real Love,YUJU
Love Song,"Wonstein, JOY"
나무,"Car, the garden"
ANYWHERE ANYTIME,george
두 사람,Sung Si Kyung
"Beautiful (Feat. Gaho, Moti, Jung Jin Woo)","JUNE, Gaho, Moti, Jung Jin Woo"
Gravity,TAEYEON
Wait,EXO
U,GRAY
Celeb,PSY
Evening (feat. BIG Naughty),"YUJU, BIG Naughty"
Got U,JUNE
About You,WOODZ
The Night,Eric Nam
Pit a Pat,SEUNGKWAN
STAR,STAYC
Happy Song,MeloMance
For You,SHAUN
Don't wanna leave tonight,Kassy
Walk With Me,Sunwoojunga
Tell Me You Love Me,Punch
It′s You,Colde
Everyday,george
I LUV U (with Mirani),"Kim Jong Kook, KCM, Mirani"
My Day Is Full Of You,"ZICO, WENDY"
Take My Hand,Kassy
Be My Love,EXO-CBX
오늘의 너,O.WHEN
You Move Me (feat. SUNG SI KYUNG),"PSY, Sung Si Kyung"
