title,artist
How Do I Say Goodbye,Dean Lewis
All For You,Cian Ducrot
Birthday Cake,Dylan Conrique
In The Stars,Benson Boone
go,Cat Burns
Another Love,Tom Odell
that way,Tate McRae
drivers license - Spotify Singles,Lewis Capaldi
Atlantis,Seafret
Evergreen (You Didn’t Deserve Me At All),Omar Apollo
Easy On Me,Adele
Innocence and Sadness,Dermot Kennedy
complex (demo),Katie Gregson-MacLeod
Lights Are On,Tom Rosenthal
Fingers Crossed,Lauren Spencer Smith
Shouldn't Be Thinking About You,Jamie Grey
Goodbye,Mimi Webb
Lose It All,Sam Tompkins
Remember - Acoustic,Becky Hill
Hurts The Most,Bradley Marshall
Car's Outside,James Arthur
Dandelions,Ruth B.
I'm Not The Only One,Sam Smith
Lonely,Noah Cyrus
Peter Pan Was Right,Anson Seabra
we'll be fine,Luz
Sparks,Coldplay
august,Taylor Swift
Visiting Hours,Ed Sheeran
Bad Life - acoustic,"Sigrid, Bring Me The Horizon"
GHOST TOWN,Benson Boone
Glimpse of Us,Joji
Pray,Jessie Murph
we're not kids anymore,Cat Burns
Matilda,Harry Styles
Talk,Moncrieff
X&Y (What I Didn’t Say),Caity Baser
London Is Lonely,Holly Humberstone
Something to Someone - Piano,Dermot Kennedy
Love In The Dark,Adele
Miserable Man,David Kushner
I Lost Myself In Loving You,Jamie Miller
Flowers,Lauren Spencer Smith
"Don't Leave, Don't Go",Deyaz
Before You Go - Piano Version,Lewis Capaldi
Screaming At Traffic,Bea Stewart
It'll Be Okay,Shawn Mendes
she's all i wanna be - Acoustic,Tate McRae
TV,Billie Eilish
Good Enough,Maisie Peters
Keep Me - Acoustic,Ashley Singh
If By Chance,Ruth B.
Train Wreck,James Arthur
drunk text me,Lexi Jayde
Black Hole - Acoustic Version,Griff
Falling,Harry Styles
drivers license,Olivia Rodrigo
Fat Funny Friend (sadder),Maddie Zahm
Hurtless,Dean Lewis
WYD Now?,Sadie Jean
Trying My Best,Anson Seabra
If You Ever Change Your Mind,Calum Scott
The Hardest Part - Acoustic,Olivia Dean
Mr. Forgettable,David Kushner
As the World Caves In,Sarah Cothran
When You Lose Someone,Nina Nesbitt
My Oh My,James Smith
i don't want to watch the world end with someone else,Clinton Kane
lie to me,"Tate McRae, Ali Gatie"
Wish You Were Here (feat. Khalid),"Lukas Graham, Khalid"
Virtually,Caity Baser
When You Love Someone,Saibh Skelly
It's Over,Cat Burns
Your Power,Billie Eilish
Giving Up,sadHAPPY
