TrackName,Artist,SongID,IMG,SongURL,Preview,Energy,Danceability,Valence
My sea,IU,46wDG6evLn2iPoQ0F8CUWk,https://i.scdn.co/image/ab67616d0000b2734ed058b71650a6ca2c04adff,https://open.spotify.com/track/46wDG6evLn2iPoQ0F8CUWk,https://p.scdn.co/mp3-preview/d52a74fe472a5e1b5dbbe2381023fa5bfdb8b475?cid=4598e66debe040afa4e5e77d7f33ee1d,0.419,0.353,0.122
Memory Of The Wind,Naul,1uMLtqpe8beA6fPy3ApJcJ,https://i.scdn.co/image/ab67616d0000b273a9f41d231c32f3ec9c2c2ae0,https://open.spotify.com/track/1uMLtqpe8beA6fPy3ApJcJ,https://p.scdn.co/mp3-preview/3417e1349acc9fa1339809171634648e260fc8c3?cid=4598e66debe040afa4e5e77d7f33ee1d,0.43,0.279,0.147
귀로,Naul,5B6ewNeXBcIDHqzsgAn6Dk,https://i.scdn.co/image/ab67616d0000b27392fdda2b0541d8d0ff5db7a5,https://open.spotify.com/track/5B6ewNeXBcIDHqzsgAn6Dk,https://p.scdn.co/mp3-preview/f90c922656f8798875bdc711e0e81111c3746029?cid=4598e66debe040afa4e5e77d7f33ee1d,0.558,0.521,0.0584
For each other's sake,Naul,0Br1zQ0fUgzeYcQqrvBOqO,https://i.scdn.co/image/ab67616d0000b273f1618b190c80e6ebf03cc7b5,https://open.spotify.com/track/0Br1zQ0fUgzeYcQqrvBOqO,https://p.scdn.co/mp3-preview/90942bac30f2cbf512cc9c194f50f27e039fbfa8?cid=4598e66debe040afa4e5e77d7f33ee1d,0.455,0.444,0.25
Beautiful Moment,K.Will,3SXg7A9M3pY2aWYdzQ0BMW,https://i.scdn.co/image/ab67616d0000b2738fd17f236ff8d7facb6ebb51,https://open.spotify.com/track/3SXg7A9M3pY2aWYdzQ0BMW,https://p.scdn.co/mp3-preview/9739e600f6010269fe7467b59155e4cc76d0d439?cid=4598e66debe040afa4e5e77d7f33ee1d,0.47,0.431,0.325
The return,Kim Yeon Woo,2mmYL9jq6eQ93DMhbl1pTg,https://i.scdn.co/image/ab67616d0000b273a96f29d9cd2b817a15c5a45c,https://open.spotify.com/track/2mmYL9jq6eQ93DMhbl1pTg,https://p.scdn.co/mp3-preview/c517e50b5338fdd1890facafeae75c181923d574?cid=4598e66debe040afa4e5e77d7f33ee1d,0.488,0.512,0.139
Never Ending Story,Sohyang,4yXgapS7QZK6ww70ltq6eP,https://i.scdn.co/image/ab67616d0000b273ae7a742ea4e32077fe97e2a8,https://open.spotify.com/track/4yXgapS7QZK6ww70ltq6eP,https://p.scdn.co/mp3-preview/5b865024b99710ed106f68e4b7bc810e4fe919f2?cid=4598e66debe040afa4e5e77d7f33ee1d,0.267,0.333,0.216
Not Sure If You Are Okay,Lim Changjung,6igdhOdG5l3FU8pxo704Kq,https://i.scdn.co/image/ab67616d0000b273bc2ee419ddadb6054d2740c2,https://open.spotify.com/track/6igdhOdG5l3FU8pxo704Kq,https://p.scdn.co/mp3-preview/edd37667f14006996a46177ffbb56a7c35c13fea?cid=4598e66debe040afa4e5e77d7f33ee1d,0.415,0.428,0.335
First Line,Shin Yong Jae,2jyX7hcIU3N4DY1n9EKIab,https://i.scdn.co/image/ab67616d0000b273891325203ae9a7537f24dcd8,https://open.spotify.com/track/2jyX7hcIU3N4DY1n9EKIab,https://p.scdn.co/mp3-preview/06c895a223d44f9ff5e94b09a2a812eb1c8e402f?cid=4598e66debe040afa4e5e77d7f33ee1d,0.409,0.362,0.358
My apology letter,Kim Yeon Woo,6b6FVzAzJqHisQiCADpEhM,https://i.scdn.co/image/ab67616d0000b273a96f29d9cd2b817a15c5a45c,https://open.spotify.com/track/6b6FVzAzJqHisQiCADpEhM,https://p.scdn.co/mp3-preview/95347fb6b9545f99b0344483eade8b787bc5fb66?cid=4598e66debe040afa4e5e77d7f33ee1d,0.597,0.487,0.166
