TrackName,Artist,SongID,IMG,SongURL,Preview,Energy,Danceability,Valence
Some,BOL4,3jsYQw78lrxJA2ysnmOIf9,https://i.scdn.co/image/ab67616d0000b2735a779a448704247c41c938fa,https://open.spotify.com/track/3jsYQw78lrxJA2ysnmOIf9,https://p.scdn.co/mp3-preview/051c58da61477df7d4e4c7ca4027438b8af0fdf9?cid=4598e66debe040afa4e5e77d7f33ee1d,0.799,0.659,0.782
Say Yes,"Loco, Punch",27zrFrtUtWl2urlvjOn5xc,https://i.scdn.co/image/ab67616d0000b273cb95963709806e12d93128d4,https://open.spotify.com/track/27zrFrtUtWl2urlvjOn5xc,https://p.scdn.co/mp3-preview/ce97bf17721ab7696076b9aec9acc9e0cb8d153b?cid=4598e66debe040afa4e5e77d7f33ee1d,0.778,0.696,0.41
Fairy of Shampoo,TOMORROW X TOGETHER,5JXpZcc3CeQaC6vAF1iaV5,https://i.scdn.co/image/ab67616d0000b273b85b1b3fae4244c686929af5,https://open.spotify.com/track/5JXpZcc3CeQaC6vAF1iaV5,https://p.scdn.co/mp3-preview/d8c72a71352afe4a0a91671cf972d93124c74c1d?cid=4598e66debe040afa4e5e77d7f33ee1d,0.796,0.544,0.473
Perhaps Love (사랑인가요) (Prod.By 박근태),"에릭남 (Eric Nam), CHEEZE (치즈)",5bN1ltT5BhVMnszmgsqGD5,https://i.scdn.co/image/ab67616d0000b2739793ec961e1979b8ce1c8e0c,https://open.spotify.com/track/5bN1ltT5BhVMnszmgsqGD5,https://p.scdn.co/mp3-preview/7654e525f5cbcaa34bbc89e16d49a538bd7e9321?cid=4598e66debe040afa4e5e77d7f33ee1d,0.445,0.525,0.258
Some (feat. Lil Boi),"SOYOU, Junggigo, lIlBOI",0g1AmSKokPboFrxmG1dxKx,https://i.scdn.co/image/ab67616d0000b27361166666e32b86c3e9a7b78b,https://open.spotify.com/track/0g1AmSKokPboFrxmG1dxKx,https://p.scdn.co/mp3-preview/8789f26e1217fe46ea1fd4455cc61992f0190969?cid=4598e66debe040afa4e5e77d7f33ee1d,0.676,0.738,0.961
Good Person (2022),HAECHAN,0lbtRkC7Bs9aR3ZYvtZydi,https://i.scdn.co/image/ab67616d0000b2730460b6fe459e986ca5310c40,https://open.spotify.com/track/0lbtRkC7Bs9aR3ZYvtZydi,https://p.scdn.co/mp3-preview/0fbb11a4bb7d8c9895ae55bcc9973e6156223835?cid=4598e66debe040afa4e5e77d7f33ee1d,0.366,0.565,0.385
Brand New,XIUMIN,1ueAM35cpUd8EjbrIq26AD,https://i.scdn.co/image/ab67616d0000b27360e017f50eac9810194b2300,https://open.spotify.com/track/1ueAM35cpUd8EjbrIq26AD,https://p.scdn.co/mp3-preview/488fa822dade765ceb90092070123c1a6ab2f894?cid=4598e66debe040afa4e5e77d7f33ee1d,0.637,0.686,0.416
Don’t,"Loco, Hwa Sa",4MidkNeonif4PcWSjkwOb7,https://i.scdn.co/image/ab67616d0000b273eb743c2304497543c3b8bdd0,https://open.spotify.com/track/4MidkNeonif4PcWSjkwOb7,https://p.scdn.co/mp3-preview/021addebdfdc7aa89927baf6d16c1d984ac84fb6?cid=4598e66debe040afa4e5e77d7f33ee1d,0.486,0.849,0.546
"Love, Maybe (Acoustic Ver.)",KIMSEJEONG,3V2fMXzPJLkIQyRgwOLgip,https://i.scdn.co/image/ab67616d0000b2730a57394f8635e3f4fb4c4159,https://open.spotify.com/track/3V2fMXzPJLkIQyRgwOLgip,https://p.scdn.co/mp3-preview/099c73d9dcb3ffac5ada884cdb4fade0c8a47721?cid=4598e66debe040afa4e5e77d7f33ee1d,0.513,0.614,0.336
"Can I Love ? (feat. youra, Meego)","Cosmic Boy, youra, Meego",4T2cOfemKB0owJS2JOu7dF,https://i.scdn.co/image/ab67616d0000b2731f824c973de698b722df271d,https://open.spotify.com/track/4T2cOfemKB0owJS2JOu7dF,https://p.scdn.co/mp3-preview/b6673e48b3c40a0777f748ef4764914603219755?cid=4598e66debe040afa4e5e77d7f33ee1d,0.441,0.708,0.275
Kiss,NMIXX,3pNcAmfGXKeKvsSG2h1teI,https://i.scdn.co/image/ab67616d0000b273a466102d6c810c15d2a81b7d,https://open.spotify.com/track/3pNcAmfGXKeKvsSG2h1teI,https://p.scdn.co/mp3-preview/74d3dae329b8ca45a5f4787d3b0034d62341bcc9?cid=4598e66debe040afa4e5e77d7f33ee1d,0.874,0.689,0.69
Gradation,10cm,775S83AMYbQc8SYteOktTL,https://i.scdn.co/image/ab67616d0000b273f38e3060974a65fe8eb626cc,https://open.spotify.com/track/775S83AMYbQc8SYteOktTL,https://p.scdn.co/mp3-preview/8348fb6d922000e2431a54a1ee989227bc123934?cid=4598e66debe040afa4e5e77d7f33ee1d,0.653,0.63,0.442
Dear my X,KyoungSeo,0UnOf7i44YK0ULpkEGHe4R,https://i.scdn.co/image/ab67616d0000b2739659451f3c10481af6a4587e,https://open.spotify.com/track/0UnOf7i44YK0ULpkEGHe4R,https://p.scdn.co/mp3-preview/83094b09df071087e6f908de0b73c9e7376de8ba?cid=4598e66debe040afa4e5e77d7f33ee1d,0.553,0.701,0.515
Pop? Pop!,CSR,3YN1BTbPyHC4h05Bw3u2g9,https://i.scdn.co/image/ab67616d0000b27357d68f1d97677170878fab3e,https://open.spotify.com/track/3YN1BTbPyHC4h05Bw3u2g9,https://p.scdn.co/mp3-preview/6302762f7ac82c1ff2c9c7634afe520624e7702a?cid=4598e66debe040afa4e5e77d7f33ee1d,0.945,0.749,0.819
Beige coat,Grizzly,0RErLzcXg9K3FtjN86e4gm,https://i.scdn.co/image/ab67616d0000b2737349e9e335431ef3e3ce0c1d,https://open.spotify.com/track/0RErLzcXg9K3FtjN86e4gm,https://p.scdn.co/mp3-preview/cca73174a10d0270a40d09c96c25f9646a5a3443?cid=4598e66debe040afa4e5e77d7f33ee1d,0.528,0.614,0.732
Ordinary Love,"Park Kyung, Park Boram",1enx9LPZrXxaVVBxas5rRm,https://i.scdn.co/image/ab67616d0000b273201eb0a8f7bf25947f08ae74,https://open.spotify.com/track/1enx9LPZrXxaVVBxas5rRm,https://p.scdn.co/mp3-preview/46a0772e26d2589f180653f71a681e5047b0b6a1?cid=4598e66debe040afa4e5e77d7f33ee1d,0.706,0.739,0.559
Do you want to walk with me? (Romance 101 X Jukjae),Jukjae,1hyyH6xSgtcgwpNOR9cX1t,https://i.scdn.co/image/ab67616d0000b273376a55c41e3c74760b59a45a,https://open.spotify.com/track/1hyyH6xSgtcgwpNOR9cX1t,https://p.scdn.co/mp3-preview/48e5af5b3f18761c271502c4873c2e8872d06b25?cid=4598e66debe040afa4e5e77d7f33ee1d,0.4,0.492,0.334
Can you stay,Coldin,3tSvYzpDRQI9uYPrB8W6tj,https://i.scdn.co/image/ab67616d0000b2730825e1470a21130a365087a3,https://open.spotify.com/track/3tSvYzpDRQI9uYPrB8W6tj,https://p.scdn.co/mp3-preview/503647ad7184e858545be76cd6dd8842d2c58c75?cid=4598e66debe040afa4e5e77d7f33ee1d,0.593,0.747,0.494
2U,KANGDANIEL,00S4PrcWUb3f3dQ9PuC0uy,https://i.scdn.co/image/ab67616d0000b27340aba99aad8c88d96741d715,https://open.spotify.com/track/00S4PrcWUb3f3dQ9PuC0uy,https://p.scdn.co/mp3-preview/d748a27f1bd997df1d3e3ed853d48f6833e9a800?cid=4598e66debe040afa4e5e77d7f33ee1d,0.742,0.717,0.564
so this is love,DAY6 (Even of Day),18xXVZwosvArMOJOs7wd6S,https://i.scdn.co/image/ab67616d0000b27334349d7d96cdf14080cc95d9,https://open.spotify.com/track/18xXVZwosvArMOJOs7wd6S,https://p.scdn.co/mp3-preview/29d04ac13f445df05b536d533263001a0b9b56b4?cid=4598e66debe040afa4e5e77d7f33ee1d,0.785,0.718,0.64
Where Is Dream,10cm,1hFOLJ9bQfZu3tlbHaLCGf,https://i.scdn.co/image/ab67616d0000b2739433a37ab80bd7ce4c6bc7f4,https://open.spotify.com/track/1hFOLJ9bQfZu3tlbHaLCGf,https://p.scdn.co/mp3-preview/7d32421b5947f97e658cc8f3a377f58ca90f7c27?cid=4598e66debe040afa4e5e77d7f33ee1d,0.668,0.757,0.818
"You, Who?","Eric Nam, JEON SOMI",5WLLVrfFNbseupmtv0p2B1,https://i.scdn.co/image/ab67616d0000b273244517d391fde976034d82bc,https://open.spotify.com/track/5WLLVrfFNbseupmtv0p2B1,https://p.scdn.co/mp3-preview/b8d75e88479af9943440233fb45358ae8fc15b2a?cid=4598e66debe040afa4e5e77d7f33ee1d,0.8,0.477,0.675
Fresh,Colde,3D9f7Y6sFAAhlujvs3lDc2,https://i.scdn.co/image/ab67616d0000b2733dda32d1486cb0d9569496e0,https://open.spotify.com/track/3D9f7Y6sFAAhlujvs3lDc2,https://p.scdn.co/mp3-preview/3bbb76a6105dc9af8ec754e949b6aae557ae45b7?cid=4598e66debe040afa4e5e77d7f33ee1d,0.647,0.869,0.709
How Do You Think,CHEEZE,1xfu5RELA5t2E2KeOG2ePD,https://i.scdn.co/image/ab67616d0000b273e3cc66c0ed0a8e46c23d411d,https://open.spotify.com/track/1xfu5RELA5t2E2KeOG2ePD,https://p.scdn.co/mp3-preview/d6a0bd0e99e0a7828df35f0441f7a7eb339fa114?cid=4598e66debe040afa4e5e77d7f33ee1d,0.516,0.877,0.884
Feel Like Falling In Love,MeloMance,4wMUV1YyLoaRvKskgmH6Yi,https://i.scdn.co/image/ab67616d0000b273f3174727d2ec1ffd595bae99,https://open.spotify.com/track/4wMUV1YyLoaRvKskgmH6Yi,https://p.scdn.co/mp3-preview/69c63ed74dce112427423e90c4eeca7b9a117bdb?cid=4598e66debe040afa4e5e77d7f33ee1d,0.444,0.655,0.476
IS THIS LOVE,KIHYUN,7ssHGorhA1RFETKIufBFht,https://i.scdn.co/image/ab67616d0000b2733515e2de38e9417de1257851,https://open.spotify.com/track/7ssHGorhA1RFETKIufBFht,https://p.scdn.co/mp3-preview/f492b0c4123e31ffce53ff47f980800208496d11?cid=4598e66debe040afa4e5e77d7f33ee1d,0.629,0.834,0.644
Why isn't love always easy? (Romance 101 X JOY),JOY,0i2zK59gngO1kHTnq9Hvp8,https://i.scdn.co/image/ab67616d0000b27315a4d6ca8cac4389653ae9eb,https://open.spotify.com/track/0i2zK59gngO1kHTnq9Hvp8,https://p.scdn.co/mp3-preview/553b806b672cdf3717d798e97ff86f24797a4ec5?cid=4598e66debe040afa4e5e77d7f33ee1d,0.631,0.602,0.538
Maybe,JO YURI,4PoMMt1P8TAIRbeAcY8PN3,https://i.scdn.co/image/ab67616d0000b2730251307347935c3a33291d43,https://open.spotify.com/track/4PoMMt1P8TAIRbeAcY8PN3,https://p.scdn.co/mp3-preview/eaaa89bddd8e3c3da2499b859532cfc3033454de?cid=4598e66debe040afa4e5e77d7f33ee1d,0.649,0.682,0.584
Tattoo,Jukjae,3B4AOfW6nDbCPb1pIEczJQ,https://i.scdn.co/image/ab67616d0000b2733266171947ba13b4a13ca423,https://open.spotify.com/track/3B4AOfW6nDbCPb1pIEczJQ,https://p.scdn.co/mp3-preview/e5a94985fa62eb2085ed7bb41249c0306f3f1ed6?cid=4598e66debe040afa4e5e77d7f33ee1d,0.514,0.457,0.288
A midsummer night's sweetness,"San E, Raina",3gug38ZhXQWJbwN7sh0YRR,https://i.scdn.co/image/ab67616d0000b273aedf2fa2159302cdd748f02a,https://open.spotify.com/track/3gug38ZhXQWJbwN7sh0YRR,https://p.scdn.co/mp3-preview/503ca958cecbdb4df8e54012e50baf7a1362fc84?cid=4598e66debe040afa4e5e77d7f33ee1d,0.737,0.781,0.778
busy guy,meenoi,24aNJe1sZzjUyJI2WuPzud,https://i.scdn.co/image/ab67616d0000b2733a387f4d1e8c44b7b75b2a48,https://open.spotify.com/track/24aNJe1sZzjUyJI2WuPzud,https://p.scdn.co/mp3-preview/aa51ec9b4f9eda95d241042f961c229e8cd3e1ff?cid=4598e66debe040afa4e5e77d7f33ee1d,0.561,0.841,0.848
