TrackName,Artist,SongID,IMG,SongURL,Preview,Energy,Danceability,Valence
When It Rain It Pours,Mestizo,4sD8La7BvjzOwFJuUnJNiY,https://i.scdn.co/image/ab67616d0000b273e0692e486c14d8861fe64b9d,https://open.spotify.com/track/4sD8La7BvjzOwFJuUnJNiY,https://p.scdn.co/mp3-preview/d4b19ac96d60e821d133936f48be012dd5d5157a?cid=4598e66debe040afa4e5e77d7f33ee1d,0.975,0.115,1e-05
Quiet Rain in River,Stereo Outdoor Sampling,2dz9Mx1pZKF2OLAPCr3AcC,https://i.scdn.co/image/ab67616d0000b27308ac37282494fdac2235f0b9,https://open.spotify.com/track/2dz9Mx1pZKF2OLAPCr3AcC,https://p.scdn.co/mp3-preview/8fb5236a8162457e4aa1d0b396997ede929eb164?cid=4598e66debe040afa4e5e77d7f33ee1d,0.00133,0.166,0.0218
Wetland At Night,Wetland Adventures,06wGShX4zK2yQMJJgjrWiB,https://i.scdn.co/image/ab67616d0000b273130a350b6b923d630f7f0c93,https://open.spotify.com/track/06wGShX4zK2yQMJJgjrWiB,https://p.scdn.co/mp3-preview/884d81868e1e77ea4077bc4c69540466dc138823?cid=4598e66debe040afa4e5e77d7f33ee1d,0.845,0.257,0.0259
Averse Sombre,Créateurs De Pluie,0XdxWj0BQOdVKhaAbQYlwF,https://i.scdn.co/image/ab67616d0000b273bd625fbc47a23e4925fab832,https://open.spotify.com/track/0XdxWj0BQOdVKhaAbQYlwF,https://p.scdn.co/mp3-preview/280be80a68ca41fe33be71355d23f83183e35387?cid=4598e66debe040afa4e5e77d7f33ee1d,0.999,0.32,1e-05
Amazon Rain,Oerwoud,416OmlQ43aOViS4Hum4KRd,https://i.scdn.co/image/ab67616d0000b273964713254c2cf9124e9d54d5,https://open.spotify.com/track/416OmlQ43aOViS4Hum4KRd,https://p.scdn.co/mp3-preview/7c55adfb7cc58202969316ff733854c7897e1be9?cid=4598e66debe040afa4e5e77d7f33ee1d,0.988,0.145,1e-05
Forest Rain,Nordic Rain,6RLIjFY6g8RHe55zE8Vk2v,https://i.scdn.co/image/ab67616d0000b2733fea9c88b7d1620a105bc1b6,https://open.spotify.com/track/6RLIjFY6g8RHe55zE8Vk2v,https://p.scdn.co/mp3-preview/5287837641de6d92befc21943fedd0dc7b219b93?cid=4598e66debe040afa4e5e77d7f33ee1d,0.955,0.197,0.00317
River Rain,Out & About,1XGH1AZ0JONwKKkYuNEPdE,https://i.scdn.co/image/ab67616d0000b273fd802674861959f5f3499d52,https://open.spotify.com/track/1XGH1AZ0JONwKKkYuNEPdE,https://p.scdn.co/mp3-preview/b61ace31d20cf5a2f2d22635fed168d854b20e09?cid=4598e66debe040afa4e5e77d7f33ee1d,0.997,0.0768,1e-05
Rain In The Garden,Let It Rain,4QYnie1z5zm6gfFzFfhbye,https://i.scdn.co/image/ab67616d0000b2738e6134e2043eb3064ed94ef9,https://open.spotify.com/track/4QYnie1z5zm6gfFzFfhbye,https://p.scdn.co/mp3-preview/645d63ffa1c3bcc161545fa40109afd69ac95f20?cid=4598e66debe040afa4e5e77d7f33ee1d,1.0,0.273,1e-05
Blissful Brook (Rain),NatuREM,3fEv1aGc7IsFlDUUrxIsWL,https://i.scdn.co/image/ab67616d0000b273580d0f6c7beedc9c09b57654,https://open.spotify.com/track/3fEv1aGc7IsFlDUUrxIsWL,https://p.scdn.co/mp3-preview/ee77fac26a44feb21910aeb64f507d9406efa2fc?cid=4598e66debe040afa4e5e77d7f33ee1d,0.999,0.172,0.00306
Overflowing Stream,Naturae,0bkpm8NP8SJZLlPKol67db,https://i.scdn.co/image/ab67616d0000b273168c9e1d008003668d55c245,https://open.spotify.com/track/0bkpm8NP8SJZLlPKol67db,https://p.scdn.co/mp3-preview/dc3fb909a4bea9dffcd8af505b9b58932f5ada1a?cid=4598e66debe040afa4e5e77d7f33ee1d,0.988,0.144,0.00587
