TrackName,Artist,SongID,IMG,SongURL,Preview,Energy,Danceability,Valence
How Do I Say Goodbye,Dean Lewis,5hnGrTBaEsdukpDF6aZg8a,https://i.scdn.co/image/ab67616d0000b273bfedccaca3c8425fdc0a7c73,https://open.spotify.com/track/5hnGrTBaEsdukpDF6aZg8a,https://p.scdn.co/mp3-preview/dcce0d668cfb64269629f4bd2ea71f7ec8a4b6af?cid=4598e66debe040afa4e5e77d7f33ee1d,0.641,0.4,0.393
Birthday Cake,Dylan Conrique,7dDrR6vMK1JAwZZ5MIWgme,https://i.scdn.co/image/ab67616d0000b273d77e330eaadf7e31ec307437,https://open.spotify.com/track/7dDrR6vMK1JAwZZ5MIWgme,https://p.scdn.co/mp3-preview/0ff9914bddd7c529b50ceeb3a41b0471a32200e7?cid=4598e66debe040afa4e5e77d7f33ee1d,0.255,0.436,0.15
In The Stars,Benson Boone,1ei3hzQmrgealgRKFxIcWn,https://i.scdn.co/image/ab67616d0000b273786e4e2c43c2897fafabbfb6,https://open.spotify.com/track/1ei3hzQmrgealgRKFxIcWn,https://p.scdn.co/mp3-preview/f1266c8f300a0b5a08107834a41cd069d4fb36e1?cid=4598e66debe040afa4e5e77d7f33ee1d,0.54,0.362,0.3
Another Love,Tom Odell,3JvKfv6T31zO0ini8iNItO,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f,https://open.spotify.com/track/3JvKfv6T31zO0ini8iNItO,,0.537,0.445,0.131
that way,Tate McRae,7l97ElWmIdVHWUaOeeU5ZC,https://i.scdn.co/image/ab67616d0000b273cdfe41cd475f8ad3a29b3537,https://open.spotify.com/track/7l97ElWmIdVHWUaOeeU5ZC,https://p.scdn.co/mp3-preview/fd285cde70dcc62dfc4f52fd7a91e87697b02008?cid=4598e66debe040afa4e5e77d7f33ee1d,0.383,0.453,0.333
drivers license - Spotify Singles,Lewis Capaldi,10wk4XQdba4QpHgFb28Ktk,https://i.scdn.co/image/ab67616d0000b27380a09ff21b33f438aec6be8b,https://open.spotify.com/track/10wk4XQdba4QpHgFb28Ktk,,0.23,0.543,0.307
Atlantis,Seafret,1Fid2jjqsHViMX6xNH70hE,https://i.scdn.co/image/ab67616d0000b2738c33272a7c77042f5eb39d75,https://open.spotify.com/track/1Fid2jjqsHViMX6xNH70hE,https://p.scdn.co/mp3-preview/fb16c38e2d22f06e44907f2fcb36902298c0bc12?cid=4598e66debe040afa4e5e77d7f33ee1d,0.479,0.4,0.213
Evergreen (You Didn’t Deserve Me At All),Omar Apollo,2TktkzfozZifbQhXjT6I33,https://i.scdn.co/image/ab67616d0000b27390cf5d1ccfca2beb86149a19,https://open.spotify.com/track/2TktkzfozZifbQhXjT6I33,https://p.scdn.co/mp3-preview/0f7aafa94545f7f851f4c8a93367d60b45949552?cid=4598e66debe040afa4e5e77d7f33ee1d,0.336,0.697,0.31
Easy On Me,Adele,0gplL1WMoJ6iYaPgMCL0gX,https://i.scdn.co/image/ab67616d0000b27350dba34377a595e35f81b0e4,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX,https://p.scdn.co/mp3-preview/3ca514309c910bb73a9e3ef8092306900af06fa6?cid=4598e66debe040afa4e5e77d7f33ee1d,0.366,0.604,0.13
Innocence and Sadness,Dermot Kennedy,1oZqKv594G6ojGvDhEFsDw,https://i.scdn.co/image/ab67616d0000b273e66907646be78a4839069cd2,https://open.spotify.com/track/1oZqKv594G6ojGvDhEFsDw,https://p.scdn.co/mp3-preview/7bbe44c6030b69540b51361fe7fd3ba28c1fb862?cid=4598e66debe040afa4e5e77d7f33ee1d,0.403,0.538,0.651
