TrackName,Artist,SongID,IMG,SongURL,Preview,Energy,Danceability,Valence
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,https://p.scdn.co/mp3-preview/aacaac1614505dbb3eb2045a31f2c0cb70e7aa59?cid=4598e66debe040afa4e5e77d7f33ee1d,0.524,0.748,0.661
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,https://p.scdn.co/mp3-preview/09e92af512355474ccf074988ea208ce6eb90a2b?cid=4598e66debe040afa4e5e77d7f33ee1d,0.652,0.825,0.931
Perfect Duet (Ed Sheeran & Beyoncé),"Ed Sheeran, Beyoncé",1bhUWB0zJMIKr9yVPrkEuI,https://i.scdn.co/image/ab67616d0000b273af6b2fca3b6e24612a5fe5d8,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,https://p.scdn.co/mp3-preview/9e1d78058053cc1e4dfc2c6b35040a5bc364f0a6?cid=4598e66debe040afa4e5e77d7f33ee1d,0.299,0.587,0.356
FRIENDS,"Marshmello, Anne-Marie",08bNPGLD8AhKpnnERrAc6G,https://i.scdn.co/image/ab67616d0000b273569f64493ca55cd96fdee412,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,,0.88,0.626,0.534
Wolves,"Selena Gomez, Marshmello",0tBbt8CrmxbjRP0pueQkyU,https://i.scdn.co/image/ab67616d0000b273307910d4242c0d6b1fedf955,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU,https://p.scdn.co/mp3-preview/e6b75bceb73b898de7587e1c32d23a6416efedaf?cid=4598e66debe040afa4e5e77d7f33ee1d,0.804,0.724,0.306
Delicate,Taylor Swift,6NFyWDv5CjfwuzoCkw47Xf,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf,https://p.scdn.co/mp3-preview/e0dc0d3928c4000b5b58ecc386d73de0ff1fdf1a?cid=4598e66debe040afa4e5e77d7f33ee1d,0.404,0.75,0.0499
Girls Like You (feat. Cardi B) - Cardi B Version,"Maroon 5, Cardi B",7fa9MBXhVfQ8P8Df9OEbD8,https://i.scdn.co/image/ab67616d0000b273deae7d931928fc1543e70203,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,,0.541,0.851,0.448
Intentions (feat. Quavo),"Justin Bieber, Quavo",4umIPjkehX1r7uhmGvXiSV,https://i.scdn.co/image/ab67616d0000b2737fe4a82a08c4f0decbeddbc6,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,https://p.scdn.co/mp3-preview/993e8baaee5b3bdb350b94818bd92ad868e8b8ad?cid=4598e66debe040afa4e5e77d7f33ee1d,0.546,0.806,0.874
Yummy,Justin Bieber,41L3O37CECZt3N7ziG2z7l,https://i.scdn.co/image/ab67616d0000b27360eec5a0953d4a33d77ed71d,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,https://p.scdn.co/mp3-preview/6e458c4b567b24bbd7a47e3706d68602f5cc649f?cid=4598e66debe040afa4e5e77d7f33ee1d,0.514,0.687,0.494
Sorry,Justin Bieber,09CtPGIpYB4BrO8qb1RGsF,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de,https://open.spotify.com/track/09CtPGIpYB4BrO8qb1RGsF,https://p.scdn.co/mp3-preview/f52ebfda4aedb754a92e8af2442a5be85bb86a8f?cid=4598e66debe040afa4e5e77d7f33ee1d,0.76,0.654,0.41
Alone,Alan Walker,3LlmKSHR3Rs0Y3KHQLAYDk,https://i.scdn.co/image/ab67616d0000b273a108e07c661f9fc54de9c43a,https://open.spotify.com/track/3LlmKSHR3Rs0Y3KHQLAYDk,https://p.scdn.co/mp3-preview/197b37df40fb444d4747d55de7efa84dc219ddd5?cid=4598e66debe040afa4e5e77d7f33ee1d,0.914,0.673,0.183
Faded,Alan Walker,698ItKASDavgwZ3WjaWjtz,https://i.scdn.co/image/ab67616d0000b273a108e07c661f9fc54de9c43a,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz,https://p.scdn.co/mp3-preview/886d05f0902d1b3fd8ca690bf0670d2d0e546f47?cid=4598e66debe040afa4e5e77d7f33ee1d,0.627,0.468,0.159
