TrackName,Artist,SongID,IMG,SongURL,Preview,Energy,Danceability,Valence
Epilogue,IU,6rcwrRWKyjaFyUL8b8GlIJ,https://i.scdn.co/image/ab67616d0000b2734ed058b71650a6ca2c04adff,https://open.spotify.com/track/6rcwrRWKyjaFyUL8b8GlIJ,https://p.scdn.co/mp3-preview/10a46e5fd957a9f807e96f7397ad87d3d6f2615c?cid=4598e66debe040afa4e5e77d7f33ee1d,0.47,0.366,0.368
Saying Hello,MINNIE,0iLX5STkl07zjT4sO8dadX,https://i.scdn.co/image/ab67616d0000b2739254d62a31f0dc264c53de8d,https://open.spotify.com/track/0iLX5STkl07zjT4sO8dadX,https://p.scdn.co/mp3-preview/de83858f4f514580f0114d4d865fad282f5afc0b?cid=4598e66debe040afa4e5e77d7f33ee1d,0.24,0.344,0.326
It′s You,Colde,23PyDwW8pLgDsjpyFdjYgj,https://i.scdn.co/image/ab67616d0000b273688d62ff6b516c3b51b57e11,https://open.spotify.com/track/23PyDwW8pLgDsjpyFdjYgj,https://p.scdn.co/mp3-preview/144ed400c8e91ffb5e45a53f23461561134db2b5?cid=4598e66debe040afa4e5e77d7f33ee1d,0.27,0.673,0.492
Galaxy,TAEYEON,41O17Xo25mbbvay3AOHC8C,https://i.scdn.co/image/ab67616d0000b27354d483dff87402bfe717f738,https://open.spotify.com/track/41O17Xo25mbbvay3AOHC8C,https://p.scdn.co/mp3-preview/efb5fb177f0d4d85d73f1d45ab0cd7aa4fe0c9fc?cid=4598e66debe040afa4e5e77d7f33ee1d,0.459,0.377,0.34
Moving,Krr,4jzNb4SziJCRL7K7dVimn7,https://i.scdn.co/image/ab67616d0000b2736b701cabf201010815d08d30,https://open.spotify.com/track/4jzNb4SziJCRL7K7dVimn7,https://p.scdn.co/mp3-preview/3dfea417154f5fada1fac738dec4c68ba1afd2c3?cid=4598e66debe040afa4e5e77d7f33ee1d,0.301,0.741,0.459
Like a Bird,MeloMance,7qNGHALgM8RPLQDGVt6rok,https://i.scdn.co/image/ab67616d0000b27392246ca008c82bc442080afb,https://open.spotify.com/track/7qNGHALgM8RPLQDGVt6rok,https://p.scdn.co/mp3-preview/d69800631b6d811cedd1c5abd63ab3a38593722b?cid=4598e66debe040afa4e5e77d7f33ee1d,0.101,0.443,0.32
Forest,Choi Yuree,33xRp6ZX1DKraRFHR9ZDck,https://i.scdn.co/image/ab67616d0000b2736012b2482accbd98980ad1c5,https://open.spotify.com/track/33xRp6ZX1DKraRFHR9ZDck,https://p.scdn.co/mp3-preview/8211efdfce15d138ce53fdc16cd90a21cacb7b1f?cid=4598e66debe040afa4e5e77d7f33ee1d,0.302,0.406,0.186
"Hachiko (Feat. Sion, Yescoba, Dayoung Ahn)","BIG Naughty, Sion, Yescoba, Dayoung Ahn",4MrCH9VqTyEKmeXQ7m6Geh,https://i.scdn.co/image/ab67616d0000b273f7f424835917fbc40ca79456,https://open.spotify.com/track/4MrCH9VqTyEKmeXQ7m6Geh,https://p.scdn.co/mp3-preview/27b46545248bb70cda7008b27f761e1bd091e1d6?cid=4598e66debe040afa4e5e77d7f33ee1d,0.361,0.425,0.211
Sweet Lullaby,Paul Kim,1NHf1Nuumrgje7lmuM2QVY,https://i.scdn.co/image/ab67616d0000b27335099cb85ce88e62961d2560,https://open.spotify.com/track/1NHf1Nuumrgje7lmuM2QVY,https://p.scdn.co/mp3-preview/ee71ca66f500e5b0deb3550153cf9901665b452d?cid=4598e66debe040afa4e5e77d7f33ee1d,0.286,0.659,0.356
all day,george,4Y8J7oYuDjYfj1dKaiIhBq,https://i.scdn.co/image/ab67616d0000b273a2d6e8d81236e056a5496861,https://open.spotify.com/track/4Y8J7oYuDjYfj1dKaiIhBq,https://p.scdn.co/mp3-preview/08144a299bc06a27d9d2c1903bbd0d8f61898d94?cid=4598e66debe040afa4e5e77d7f33ee1d,0.333,0.564,0.169
