TrackName,Artist,SongID,IMG,SongURL,Preview,Energy,Danceability,Valence
Cookie,NewJeans,2DwUdMJ5uxv20EhAildreg,https://i.scdn.co/image/ab67616d0000b2739d28fd01859073a3ae6ea209,https://open.spotify.com/track/2DwUdMJ5uxv20EhAildreg,https://p.scdn.co/mp3-preview/c83f685acc9c80401a9a06a21244d7899c6dfe38?cid=4598e66debe040afa4e5e77d7f33ee1d,0.638,0.847,0.661
Brand New,XIUMIN,1ueAM35cpUd8EjbrIq26AD,https://i.scdn.co/image/ab67616d0000b27360e017f50eac9810194b2300,https://open.spotify.com/track/1ueAM35cpUd8EjbrIq26AD,https://p.scdn.co/mp3-preview/488fa822dade765ceb90092070123c1a6ab2f894?cid=4598e66debe040afa4e5e77d7f33ee1d,0.637,0.686,0.416
WINE (Feat.Changmo) (Prod. SUGA),"SURAN, CHANGMO",3eHkFA3StDR9BU7EVrUFLs,https://i.scdn.co/image/ab67616d0000b2732c0252c4e4a988f024e4d262,https://open.spotify.com/track/3eHkFA3StDR9BU7EVrUFLs,https://p.scdn.co/mp3-preview/7df3a7771a6aab0844b5e47ebcefd6aa4b699620?cid=4598e66debe040afa4e5e77d7f33ee1d,0.644,0.62,0.502
Upside Down,KANGDANIEL,41KiFWhvIgjdVura4h93Zh,https://i.scdn.co/image/ab67616d0000b27301ece6f7f6d707aa4cd9cdab,https://open.spotify.com/track/41KiFWhvIgjdVura4h93Zh,https://p.scdn.co/mp3-preview/ab4f74cf18dbf5ddae4617592411d711950e89e5?cid=4598e66debe040afa4e5e77d7f33ee1d,0.574,0.682,0.626
DREAM LIKE ME,"Crowd Lu, The Black Skirts",3PyWBHnx6G5uUpeSjbmp6m,https://i.scdn.co/image/ab67616d0000b273ce84c4448a4efb3b6903bc9d,https://open.spotify.com/track/3PyWBHnx6G5uUpeSjbmp6m,https://p.scdn.co/mp3-preview/052ab6696c92d1842200cb4337f426b812d4ef43?cid=4598e66debe040afa4e5e77d7f33ee1d,0.513,0.447,0.438
Sun Dance,COOING,0H7gG3rXd8ktRNAYhYOagP,https://i.scdn.co/image/ab67616d0000b273ef2d0439f4577d2bb807e9dc,https://open.spotify.com/track/0H7gG3rXd8ktRNAYhYOagP,https://p.scdn.co/mp3-preview/3b7fe8a48a2e8b704fb96279af854c26c3973476?cid=4598e66debe040afa4e5e77d7f33ee1d,0.887,0.771,0.715
Empty Cup,IU,4YnVz2QRU6OnoJ8lt23QHM,https://i.scdn.co/image/ab67616d0000b2734ed058b71650a6ca2c04adff,https://open.spotify.com/track/4YnVz2QRU6OnoJ8lt23QHM,https://p.scdn.co/mp3-preview/42e1cdfec8e7cbc884802b879e053eab816a7323?cid=4598e66debe040afa4e5e77d7f33ee1d,0.493,0.755,0.417
Hurt,NewJeans,5expoVGQPvXuwBBFuNGqBd,https://i.scdn.co/image/ab67616d0000b2739d28fd01859073a3ae6ea209,https://open.spotify.com/track/5expoVGQPvXuwBBFuNGqBd,https://p.scdn.co/mp3-preview/4e2b7dc32c81b7429c770c5d5c2b60b364f6baf9?cid=4598e66debe040afa4e5e77d7f33ee1d,0.446,0.599,0.567
She lives in Paris,GEMINI,5PvMK77XUHP4EwdttBNX3o,https://i.scdn.co/image/ab67616d0000b27325347e589f4df978913883b2,https://open.spotify.com/track/5PvMK77XUHP4EwdttBNX3o,,0.871,0.828,0.926
Syndrome,CIKI,1hZ2dSvv2O6HQo6p3gDtVO,https://i.scdn.co/image/ab67616d0000b273b4885c7f7d00380668d86dda,https://open.spotify.com/track/1hZ2dSvv2O6HQo6p3gDtVO,https://p.scdn.co/mp3-preview/fa31d78e9d35d6ae092b6561fa1b1402a4b43f22?cid=4598e66debe040afa4e5e77d7f33ee1d,0.582,0.675,0.468
